Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value,,
Malaysia,MYS,2019,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.902861725,,
Malaysia,MYS,2018,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.925970989,,
Malaysia,MYS,2017,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.680007421,,
Malaysia,MYS,2016,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.881382453,,
Malaysia,MYS,2015,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.960695165,,
Malaysia,MYS,2014,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.011965236,,
Malaysia,MYS,2013,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.132917924,,
Malaysia,MYS,2012,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.848391782,,
Malaysia,MYS,2011,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.888663496,,
Malaysia,MYS,2010,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.174140532,,
Malaysia,MYS,2009,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.790893399,,
Malaysia,MYS,2008,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.397884952,,
Malaysia,MYS,2007,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.096554716,,
Malaysia,MYS,2006,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.12850835,,
Malaysia,MYS,2005,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,2.902880915,,
Malaysia,MYS,2004,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.192867155,,
Malaysia,MYS,2003,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.407359597,,
Malaysia,MYS,2002,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.257506184,,
Malaysia,MYS,2001,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.221423493,,
Malaysia,MYS,2000,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,2.770261564,,
